review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_cleanlinessnan,review_scores_checkinnan,review_scores_communicationnan,review_scores_locationnan,review_scores_ratingnan
4.78,4.73,4.72,4.73,4.58,0,0,0,0,0
4.95,4.96,4.96,4.75,4.85,0,0,0,0,0
4.59,4.67,4.7,4.66,4.42,0,0,0,0,0
4.72,4.79,4.78,4.69,4.62,0,0,0,0,0
4.67,4.8,4.81,4.75,4.53,0,0,0,0,0
4.59,4.62,4.7,4.64,4.34,0,0,0,0,0
4.58,4.73,4.71,4.63,4.44,0,0,0,0,0
4.49,4.8,4.87,4.93,4.64,0,0,0,0,0
4.0,4.0,5.0,4.0,4.0,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,0.0,1,1,1,1,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.6,4.86,4.75,4.78,4.63,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.29,5.0,5.0,4.59,4.53,0,0,0,0,0
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
4.646681938325982,4.831069160197588,4.849166372929133,4.73150141143259,4.549229847680984,1,1,1,1,1
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0
4.78,4.94,4.88,4.87,4.94,0,0,0,0,0
5.0,5.0,4.0,4.0,5.0,0,0,0,0,0
4.75,5.0,5.0,4.0,4.75,0,0,0,0,0
4.95,4.9,5.0,4.65,4.9,0,0,0,0,0
4.0,5.0,5.0,4.0,4.0,0,0,0,0,0
4.82,4.89,4.96,4.8,4.77,0,0,0,0,0
4.63,4.8,4.79,4.53,4.57,0,0,0,0,0
5.0,4.0,5.0,4.5,4.5,0,0,0,0,0
